"report_name","report_time","Physical memory in use (MB)","Locked page allocations (MB)","Page faults","Memory utilisation %","report_time_interval_minutes"
"process memory","11/04/2023 12:00:00","3651","0","10672556","89","5"
"process memory","11/04/2023 13:00:00","3648","0","10697532","89","5"
"process memory","11/04/2023 14:00:00","3641","0","10722864","89","5"
"process memory","11/04/2023 15:00:00","3641","0","10747824","89","5"
"process memory","11/04/2023 16:00:00","3641","0","10772663","89","5"
"process memory","11/04/2023 17:00:00","3641","0","10797385","89","5"
"process memory","11/04/2023 18:00:00","3640","0","10822217","89","5"
"process memory","11/04/2023 19:00:00","3639","0","10847173","89","5"
"process memory","11/04/2023 20:00:00","3641","0","10873610","89","5"
"process memory","11/04/2023 21:00:00","3640","0","10900152","89","5"
"process memory","11/04/2023 22:00:00","3639","0","10925487","89","5"
"process memory","11/04/2023 23:00:00","3638","0","10950941","89","5"
"process memory","12/04/2023 00:00:00","3638","0","10976958","89","5"
"process memory","12/04/2023 01:00:00","3639","0","11002481","89","5"
"process memory","12/04/2023 02:00:00","3638","0","11028090","89","5"
"process memory","12/04/2023 03:00:00","3636","0","11053930","89","5"
"process memory","12/04/2023 04:00:00","3634","0","11079831","89","5"
"process memory","12/04/2023 05:00:00","3635","0","11106034","89","5"
"process memory","12/04/2023 06:00:00","3640","0","11134975","89","5"
"process memory","12/04/2023 07:00:00","3643","0","11171658","89","5"
"process memory","12/04/2023 08:00:00","3643","0","11208429","89","5"
"process memory","12/04/2023 09:00:00","3646","0","11245890","89","5"
"process memory","12/04/2023 10:00:00","3343","0","11283058","81","5"
"process memory","12/04/2023 11:00:00","3247","0","11319857","79","5"
"process memory","12/04/2023 12:00:00","3261","0","11353982","79","5"
"process memory","12/04/2023 13:00:00","3400","0","11447492","83","5"
"process memory","12/04/2023 14:00:00","3348","0","11485663","82","5"
"process memory","12/04/2023 15:00:00","3393","0","11523138","83","5"
"process memory","12/04/2023 16:00:00","3389","0","11554197","83","5"
"process memory","12/04/2023 17:00:00","2078","0","5965892","80","5"
"process memory","12/04/2023 18:00:00","622","0","380214","72","5"
"process memory","12/04/2023 19:00:00","603","0","426502","73","5"
"process memory","12/04/2023 20:00:00","601","0","477648","74","5"
"process memory","12/04/2023 21:00:00","657","0","538117","77","5"
"process memory","12/04/2023 22:00:00","676","0","587827","77","5"
"process memory","12/04/2023 23:00:00","696","0","638511","78","5"
"process memory","13/04/2023 00:00:00","726","0","692612","79","5"
"process memory","13/04/2023 01:00:00","746","0","743510","79","5"
"process memory","13/04/2023 02:00:00","761","0","793891","79","5"
"process memory","13/04/2023 03:00:00","783","0","845101","80","5"
"process memory","13/04/2023 04:00:00","796","0","893983","80","5"
"process memory","13/04/2023 05:00:00","806","0","942071","80","5"
"process memory","13/04/2023 06:00:00","819","0","988038","81","5"
"process memory","13/04/2023 07:00:00","831","0","1037493","81","5"
"process memory","13/04/2023 08:00:00","846","0","1088050","81","5"
"process memory","13/04/2023 09:00:00","860","0","1138709","81","5"
"process memory","13/04/2023 10:00:00","871","0","1189063","81","5"
"process memory","13/04/2023 11:00:00","888","0","1239778","82","5"
"process memory","13/04/2023 12:00:00","961","0","1305614","83","5"
"process memory","13/04/2023 13:00:00","976","0","1350345","83","5"
"process memory","13/04/2023 14:00:00","985","0","1394860","83","5"
"process memory","13/04/2023 15:00:00","820","0","752155","87","5"
"process memory","13/04/2023 16:00:00","695","0","274788","88","5"
"process memory","13/04/2023 17:00:00","691","0","307572","89","5"
"process memory","13/04/2023 18:00:00","725","0","355914","90","5"
"process memory","13/04/2023 19:00:00","823","0","422179","91","5"
"process memory","13/04/2023 20:00:00","849","0","467776","91","5"
"process memory","13/04/2023 21:00:00","863","0","509378","91","5"
"process memory","13/04/2023 22:00:00","878","0","551502","92","5"
"process memory","13/04/2023 23:00:00","895","0","594439","92","5"
"process memory","14/04/2023 00:00:00","908","0","635497","92","5"
"process memory","14/04/2023 01:00:00","918","0","677392","92","5"
"process memory","14/04/2023 02:00:00","937","0","720425","92","5"
"process memory","14/04/2023 03:00:00","950","0","761798","92","5"
"process memory","14/04/2023 04:00:00","964","0","803206","92","5"
"process memory","14/04/2023 05:00:00","978","0","845131","93","5"
"process memory","14/04/2023 06:00:00","990","0","884972","93","5"
"process memory","14/04/2023 07:00:00","1004","0","927243","93","5"
"process memory","14/04/2023 08:00:00","1016","0","967176","93","5"
"process memory","14/04/2023 09:00:00","1028","0","1007701","93","5"
"process memory","14/04/2023 10:00:00","1038","0","1047392","93","5"
"process memory","14/04/2023 11:00:00","1056","0","1090196","93","5"
